Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+2.000000E+01
Vertical Offset,+4.000000E+01
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH1
Second,Value
-7.7700000000E-07,-4.758333E+01
-7.7600000000E-07,-4.750000E+01
-7.7500000000E-07,-4.754166E+01
-7.7400000000E-07,-4.754166E+01
-7.7300000000E-07,-4.775000E+01
-7.7200000000E-07,-4.775000E+01
-7.7100000000E-07,-4.783333E+01
-7.7000000000E-07,-4.762500E+01
-7.6900000000E-07,-4.787500E+01
-7.6800000000E-07,-4.791666E+01
-7.6700000000E-07,-4.787500E+01
-7.6600000000E-07,-4.766667E+01
-7.6500000000E-07,-4.775000E+01
-7.6400000000E-07,-4.766667E+01
-7.6300000000E-07,-4.758333E+01
-7.6200000000E-07,-4.750000E+01
-7.6100000000E-07,-4.737500E+01
-7.6000000000E-07,-4.745834E+01
-7.5900000000E-07,-4.750000E+01
-7.5800000000E-07,-4.754166E+01
-7.5700000000E-07,-4.754166E+01
-7.5600000000E-07,-4.770834E+01
-7.5500000000E-07,-4.766667E+01
-7.5400000000E-07,-4.754166E+01
-7.5300000000E-07,-4.770834E+01
-7.5200000000E-07,-4.750000E+01
-7.5100000000E-07,-4.779167E+01
-7.5000000000E-07,-4.770834E+01
-7.4900000000E-07,-4.754166E+01
-7.4800000000E-07,-4.800000E+01
-7.4700000000E-07,-4.795834E+01
-7.4600000000E-07,-4.729166E+01
-7.4500000000E-07,-4.750000E+01
-7.4400000000E-07,-4.800000E+01
-7.4300000000E-07,-4.766667E+01
-7.4200000000E-07,-4.745834E+01
-7.4100000000E-07,-4.770834E+01
-7.4000000000E-07,-4.791666E+01
-7.3900000000E-07,-4.750000E+01
-7.3800000000E-07,-4.741667E+01
-7.3700000000E-07,-4.783333E+01
-7.3600000000E-07,-4.775000E+01
-7.3500000000E-07,-4.745834E+01
-7.3400000000E-07,-4.758333E+01
-7.3300000000E-07,-4.775000E+01
-7.3200000000E-07,-4.775000E+01
-7.3100000000E-07,-4.766667E+01
-7.3000000000E-07,-4.783333E+01
-7.2900000000E-07,-4.795834E+01
-7.2800000000E-07,-4.754166E+01
-7.2700000000E-07,-4.754166E+01
-7.2600000000E-07,-4.779167E+01
-7.2500000000E-07,-4.783333E+01
-7.2400000000E-07,-4.766667E+01
-7.2300000000E-07,-4.787500E+01
-7.2200000000E-07,-4.779167E+01
-7.2100000000E-07,-4.762500E+01
-7.2000000000E-07,-4.762500E+01
-7.1900000000E-07,-4.762500E+01
-7.1800000000E-07,-4.758333E+01
-7.1700000000E-07,-4.762500E+01
-7.1600000000E-07,-4.766667E+01
-7.1500000000E-07,-4.787500E+01
-7.1400000000E-07,-4.762500E+01
-7.1300000000E-07,-4.770834E+01
-7.1200000000E-07,-4.795834E+01
-7.1100000000E-07,-4.770834E+01
-7.1000000000E-07,-4.758333E+01
-7.0900000000E-07,-4.770834E+01
-7.0800000000E-07,-4.779167E+01
-7.0700000000E-07,-4.775000E+01
-7.0600000000E-07,-4.770834E+01
-7.0500000000E-07,-4.770834E+01
-7.0400000000E-07,-4.779167E+01
-7.0300000000E-07,-4.783333E+01
-7.0200000000E-07,-4.783333E+01
-7.0100000000E-07,-4.795834E+01
-7.0000000000E-07,-4.775000E+01
-6.9900000000E-07,-4.775000E+01
-6.9800000000E-07,-4.750000E+01
-6.9700000000E-07,-4.766667E+01
-6.9600000000E-07,-4.770834E+01
-6.9500000000E-07,-4.783333E+01
-6.9400000000E-07,-4.783333E+01
-6.9300000000E-07,-4.766667E+01
-6.9200000000E-07,-4.762500E+01
-6.9100000000E-07,-4.783333E+01
-6.9000000000E-07,-4.791666E+01
-6.8900000000E-07,-4.795834E+01
-6.8800000000E-07,-4.758333E+01
-6.8700000000E-07,-4.770834E+01
-6.8600000000E-07,-4.787500E+01
-6.8500000000E-07,-4.783333E+01
-6.8400000000E-07,-4.770834E+01
